Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
robot_body,7.73870656298055E-18,6.56352555085725E-05,0.0269020159399907,0,0,0,4.266,0.0303319746647914,5.24144068654683E-18,-1.33999125947965E-18,0.0311586930426629,0.000455042564463213,0.0584004816221285,0,0,0,0,0,0,package://little_boy_sim/meshes/robot_body.STL,1,1,1,1,0,0,0,0,0,0,package://little_boy_sim/meshes/robot_body.STL,,main_body_-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_L,0.0176282080548916,0.0370896616143596,0.00815080609992025,0,0,0,0.283423667764616,0.000265257278790206,2.10466843961759E-21,7.10003077447779E-09,0.00025941290370256,-1.9172409284844E-06,0.000144352415869328,0,0,0,0,0,0,package://little_boy_sim/meshes/shoulder_L.STL,0.752941176470588,0.752941176470588,0,1,0,0,0,0,0,0,package://little_boy_sim/meshes/shoulder_L.STL,,L_shoulder-1,Origin_servo_L0,Axis_servo_L0,servo_L0,continuous,-0.0850000000000002,0.0399999999999997,0.06,1.5707963267949,0,0,robot_body,0,1,0,,,,,,,,,,,,
humerus_L,-0.0749999999999894,1.05748743095546E-14,0.0125000000000634,0,0,0,0.0519272118011655,3.88070998990834E-06,-3.04931861011548E-20,1.10240651048962E-16,0.000130596276371464,3.09890737932735E-18,0.000134260622978868,0,0,0,0,0,0,package://little_boy_sim/meshes/humerus_L.STL,0,0,0.752941176470588,1,0,0,0,0,0,0,package://little_boy_sim/meshes/humerus_L.STL,,humerus-1,Origin_servo_L1,Axis_servo_L1,servo_L1,continuous,0,0.035,-0.015,1.5708,-0.7854,-1.5708,shoulder_L,0,0,1,,,,,,,,,,,,
ulna_L,0.0545874765333422,8.49320613838245E-15,0.00998412959821515,0,0,0,0.0623918688838126,4.6899914784395E-06,-3.58294936688569E-19,-2.07386312172505E-16,0.00024547580253465,3.74503626028023E-18,0.000249905827892741,0,0,0,0,0,0,package://little_boy_sim/meshes/ulna_L.STL,0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,package://little_boy_sim/meshes/ulna_L.STL,,ulna_-2,Origin_elbow_L,Axis_elbow_L,elbow_L,continuous,-0.15,0,0,0,0,-1.5708,humerus_L,0,0,1,,,,,,,,,,,,
palm_L,0.0124999999981679,0.0120255662044685,0.0177078963676909,0,0,0,0.0457141016063151,1.44625861769414E-05,2.33132442790196E-18,3.04469794115004E-18,1.14249586142426E-05,1.96430007002868E-06,1.69837601342722E-05,0,0,0,0,0,0,package://little_boy_sim/meshes/palm_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy_sim/meshes/palm_L.STL,,wrist-3,Origin_wrist_L,Axis_wrist_L,wrist_L,continuous,0.15,0,0,0.7806,-1.5708,0,ulna_L,1,0,0,,,,,,,,,,,,
carpal_outer_L,-2.77555756156289E-17,-0.00250000000000006,-0.02,0,0,0,0.00236128315516283,4.51879117250704E-07,1.86922169213929E-24,1.5034575613003E-22,4.66072959289765E-07,-9.13614524216283E-22,2.4032521852239E-08,0,0,0,0,0,0,package://little_boy_sim/meshes/carpal_outer_L.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy_sim/meshes/carpal_outer_L.STL,,gripper_servo_shaft_link-5,Origin_servo_L3_outer,Axis_servo_L3_outer,servo_L3_outer,continuous,0.0235,0,0.0418,3.1416,1.0036E-05,0,palm_L,0,1,0,,,,,,,,,,,,
finger_outer_L,0.00511306770477256,-0.00249999999999999,-0.00728422296122805,0,0,0,0.00771718769015707,3.08987109886686E-06,-4.29058583731255E-21,-9.12550467894094E-07,3.56022426581632E-06,-1.09051356055928E-20,5.0250811565844E-07,0,0,0,0,0,0,package://little_boy_sim/meshes/finger_outer_L.STL,0.752941176470588,0,0.752941176470588,1,0,0,0,0,0,0,package://little_boy_sim/meshes/finger_outer_L.STL,,finger-3,Origin_finger_outer_joint_L,Axis_finger_outer_joint_L,finger_outer_joint_L,continuous,0,0,-0.04,0,1.0036E-05,0,carpal_outer_L,0,1,0,,,,,,,,,,,,
carpal_inner_L,-5.72875080706581E-14,0.00250000000000004,-0.02,0,0,0,0.00236128315516282,4.51879117250703E-07,-8.14507915427165E-23,-1.22524661790364E-18,4.66072959289764E-07,8.94330876186141E-22,2.40325218522389E-08,0,0,0,0,0,0,package://little_boy_sim/meshes/carpal_inner_L.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy_sim/meshes/carpal_inner_L.STL,,gripper_servo_shaft_link-1,Origin_servo_L3_inner,Axis_servo_L3_inner,servo_L3_inner,continuous,0.0015,0,0.0418,3.1416,0,3.1416,palm_L,0,1,0,,,,,,,,,,,,
finger_inner_L,0.00511306770475504,0.00250000000000004,-0.00728422296124015,0,0,0,0.00771718769015706,3.08987109886248E-06,-9.3719563402258E-22,-9.12550467900302E-07,3.56022426581631E-06,8.49721284245098E-22,5.02508115662819E-07,0,0,0,0,0,0,package://little_boy_sim/meshes/finger_inner_L.STL,0.752941176470588,0,0.752941176470588,1,0,0,0,0,0,0,package://little_boy_sim/meshes/finger_inner_L.STL,,finger-1,Origin_finger_inner_joint_L,Axis_finger_inner_joint_L,finger_inner_joint_L,continuous,0,0,-0.04,0,0,0,carpal_inner_L,0,1,0,,,,,,,,,,,,
shoulder_R,-0.0176282080548916,0.0370896616143596,0.00815080609992024,0,0,0,0.283423667764616,0.000265257278790206,-1.18994555132178E-21,-7.10003077447386E-09,0.000259412903702561,-1.91724092848441E-06,0.000144352415869328,0,0,0,0,0,0,package://little_boy_sim/meshes/shoulder_R.STL,0.752941176470588,0.752941176470588,0,1,0,0,0,0,0,0,package://little_boy_sim/meshes/shoulder_R.STL,,R_shoulder-1,Origin_servo_R0,Axis_servo_R0,servo_R0,continuous,0.085,0.04,0.06,1.5708,0,0,robot_body,0,1,0,,,,,,,,,,,,
