Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
robot_body,9.21176008618388E-18,6.56352555085717E-05,0.0269020159399907,0,0,0,4.266,0.0303319746647914,5.25706915345657E-18,-1.25619509476993E-18,0.0311586930426629,0.000455042564463212,0.0584004816221285,0,0,0,0,0,0,package://little_boy_urdf/meshes/robot_body.STL,1,1,1,1,0,0,0,0,0,0,package://little_boy_urdf/meshes/robot_body.STL,,main_body_-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_L,0.0176282080548852,0.0370896616143596,0.00815080609993397,0,0,0,0.283423667764616,0.000265257278790206,-4.2628910300814E-22,7.10003077447642E-09,0.00025941290370256,-1.9172409284844E-06,0.000144352415869328,0,0,0,0,0,0,package://little_boy_urdf/meshes/shoulder_L.STL,0.752941176470588,0.752941176470588,0,1,0,0,0,0,0,0,package://little_boy_urdf/meshes/shoulder_L.STL,,L_shoulder-1,Origin_servo_L0,Axis_servo_L0,servo_L0,continuous,-0.085,0.04,0.06,1.5708,0,0,robot_body,0,1,0,,,,,,,,,,,,
humerus_L,-0.0750000000000015,-2.74849587533765E-14,0.012499999999989,0,0,0,0.0519272118011656,3.88070998990836E-06,-4.40465602901709E-17,-1.48711239403269E-17,0.000130596276371464,-4.16767946942295E-19,0.000134260622978868,0,0,0,0,0,0,package://little_boy_urdf/meshes/humerus_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy_urdf/meshes/humerus_L.STL,,humerus-1,Origin_servo_L1,Axis_servo_L1,servo_L1,continuous,0,0.035,-0.015,1.5708,-0.7854,-1.5708,shoulder_L,0,0,1,,,,,,,,,,,,
elbow_L,-0.00793696847270822,0.0282227462443586,0.00749999999996474,0,0,0,0.0427619510241515,1.36758061050991E-05,1.99613319993035E-06,-4.37784798637207E-22,6.30957779977599E-06,-2.23039997158108E-22,1.83818107414694E-05,0,0,0,0,0,0,package://little_boy_urdf/meshes/elbow_L.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy_urdf/meshes/elbow_L.STL,,elbow-1,Origin_elbow_humerus_joint_L,,elbow_humerus_joint_L,continuous,-0.15,0,0.02,3.1416,0,-2.3514,humerus_L,0,0,1,,,,,,,,,,,,
ulnaSupport_L,-0.0750000000002135,-4.1133763062362E-14,-0.00750000000015374,0,0,0,0.0330002209841783,1.1472107551594E-06,-4.91914913513527E-17,-4.68497760382373E-17,7.52734537911621E-05,6.29487683505912E-19,7.62831636255541E-05,0,0,0,0,0,0,package://little_boy_urdf/meshes/ulnaSupport_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy_urdf/meshes/ulnaSupport_L.STL,,arm_support_link-3,Origin_ulnaSupport_elbow_joint_L,Axis_ulnaSupport_elbow_joint_L,ulnaSupport_elbow_joint_L,continuous,0,0.05,0,3.1416,0,2.361,elbow_L,0,0,1,,,,,,,,,,,,
ulna_L,0.0545874765335618,3.00315328161105E-14,0.00998412959802818,0,0,0,0.0623918688838127,4.68999147843953E-06,-1.60362395156552E-16,1.52891544727598E-16,0.000245475802534651,-2.76301776881152E-18,0.000249905827892741,0,0,0,0,0,0,package://little_boy_urdf/meshes/ulna_L.STL,0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,package://little_boy_urdf/meshes/ulna_L.STL,,ulna_-2,Origin_ulna_humerus_joint_L,Axis_ulna_humerus_joint_L,ulna_humerus_joint_L,continuous,-0.15,0,0,0,0,-1.5708,humerus_L,0,0,1,,,,,,,,,,,,
wrist_L,0.00749999999967534,0.0120255662033428,0.0177078963678105,0,0,0,0.045714101606315,1.44625861769414E-05,-2.58465531825402E-18,-3.3417103259848E-18,1.14249586142422E-05,1.96430007002813E-06,1.69837601342726E-05,0,0,0,0,0,0,package://little_boy_urdf/meshes/wrist_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy_urdf/meshes/wrist_L.STL,,wrist-3,Origin_wrist_ulna_joint_L,,wrist_ulna_joint_L,continuous,0.15,0,0.005,0.7806,-1.5708,0,ulna_L,0,0,1,,,,,,,,,,,,
metacarpal_1_L,-7.72187869202412E-13,-0.00249999999887215,-0.0200000000001463,0,0,0,0.00236128315516283,4.51879117250703E-07,9.61510750502193E-23,-9.4930917662086E-18,4.66072959289763E-07,4.27636673182974E-20,2.40325218522389E-08,0,0,0,0,0,0,package://little_boy_urdf/meshes/metacarpal_1_L.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy_urdf/meshes/metacarpal_1_L.STL,,gripper_servo_shaft_link-7,Origin_metacarpal_1_joint_L,Axis_metacarpal_1_joint_L,metacarpal_1_joint_L,continuous,0.039713,0,0.020587,3.1416,1.0036E-05,0,wrist_L,0,1,0,,,,,,,,,,,,
metacarpal_2_L,-8.00359778452275E-13,-0.00249999999886992,-0.0200000000001181,0,0,0,0.00236128315516283,4.51879117250703E-07,9.35657348946512E-23,-9.49429593620286E-18,4.66072959289763E-07,4.27965348229493E-20,2.40325218522389E-08,0,0,0,0,0,0,package://little_boy_urdf/meshes/metacarpal_2_L.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy_urdf/meshes/metacarpal_2_L.STL,,gripper_servo_shaft_link-5,Origin_metacarpal_2_servo_L,Axis_metacarpal_2_servo_L,metacarpal_2_servo_L,continuous,0.0185,0,0.0418,3.1416,1.0036E-05,0,wrist_L,0,1,0,,,,,,,,,,,,
finger_A_L,0.0051130677035132,0.00750000000113296,-0.00728422296134446,0,0,0,0.00771718769015706,3.08987109886225E-06,9.14133838544602E-20,-9.12550467900636E-07,3.56022426581631E-06,3.02006743570407E-19,5.02508115663053E-07,0,0,0,0,0,0,package://little_boy_urdf/meshes/finger_A_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy_urdf/meshes/finger_A_L.STL,,finger-3,Origin_finger_A_servo_joint_L,,finger_A_servo_joint_L,continuous,0,-0.01,-0.04,0,1.0036E-05,0,metacarpal_2_L,0,0,1,,,,,,,,,,,,
